"100Ω 0603 1%", "R0", "R0603",  "C22775"
"102Ω 0603 1%", "R1", "R0603",  "C22776"
"105Ω 0603 1%", "R2", "R0603",  "C22777"
"107Ω 0603 1%", "R3", "R0603",  "C22778"
"110Ω 0603 1%", "R4", "R0603",  "C22781"
"112Ω 0603 1%", "R5", "R0603",  ""
"114Ω 0603 1%", "R6", "R0603",  ""
"118Ω 0603 1%", "R7", "R0603",  "C22784"
"121Ω 0603 1%", "R8", "R0603",  "C22867"
"124Ω 0603 1%", "R9", "R0603",  "C22868"
"127Ω 0603 1%", "R10", "R0603",  "C12903"
"130Ω 0603 1%", "R11", "R0603",  "C22796"
"133Ω 0603 1%", "R12", "R0603",  "C12905"
"137Ω 0603 1%", "R13", "R0603",  "C22873"
"140Ω 0603 1%", "R14", "R0603",  "C22876"
"143Ω 0603 1%", "R15", "R0603",  "C22802"
"147Ω 0603 1%", "R16", "R0603",  "C22879"
"150Ω 0603 1%", "R17", "R0603",  "C22808"
"154Ω 0603 1%", "R18", "R0603",  "C22882"
"158Ω 0603 1%", "R19", "R0603",  "C22884"
"162Ω 0603 1%", "R20", "R0603",  "C103327"
"165Ω 0603 1%", "R21", "R0603",  "C22888"
"169Ω 0603 1%", "R22", "R0603",  "C22889"
"174Ω 0603 1%", "R23", "R0603",  "C22891"
"178Ω 0603 1%", "R24", "R0603",  "C22824"
"182Ω 0603 1%", "R25", "R0603",  "C22895"
"187Ω 0603 1%", "R26", "R0603",  "C22829"
"191Ω 0603 1%", "R27", "R0603",  "C12923"
"196Ω 0603 1%", "R28", "R0603",  "C12924"
"200Ω 0603 1%", "R29", "R0603",  "C8218"
"204Ω 0603 1%", "R30", "R0603",  ""
"210Ω 0603 1%", "R31", "R0603",  "C22953"
"216Ω 0603 1%", "R32", "R0603",  ""
"221Ω 0603 1%", "R33", "R0603",  "C23342"
"225Ω 0603 1%", "R34", "R0603",  ""
"231Ω 0603 1%", "R35", "R0603",  ""
"237Ω 0603 1%", "R36", "R0603",  "C23012"
"243Ω 0603 1%", "R37", "R0603",  "C22917"
"249Ω 0603 1%", "R38", "R0603",  "C22919"
"254Ω 0603 1%", "R39", "R0603",  ""
"261Ω 0603 1%", "R40", "R0603",  "C22925"
"267Ω 0603 1%", "R41", "R0603",  "C22924"
"274Ω 0603 1%", "R42", "R0603",  "C22927"
"280Ω 0603 1%", "R43", "R0603",  "C22971"
"287Ω 0603 1%", "R44", "R0603",  "C22929"
"294Ω 0603 1%", "R45", "R0603",  "C22990"
"301Ω 0603 1%", "R46", "R0603",  "C25192"
"309Ω 0603 1%", "R47", "R0603",  "C22983"
"316Ω 0603 1%", "R48", "R0603",  "C22987"
"324Ω 0603 1%", "R49", "R0603",  "C12963"
"332Ω 0603 1%", "R50", "R0603",  "C22170"
"340Ω 0603 1%", "R51", "R0603",  "C12967"
"348Ω 0603 1%", "R52", "R0603",  "C23005"
"357Ω 0603 1%", "R53", "R0603",  "C23028"
"365Ω 0603 1%", "R54", "R0603",  "C23032"
"374Ω 0603 1%", "R55", "R0603",  "C23149"
"383Ω 0603 1%", "R56", "R0603",  "C12976"
"392Ω 0603 1%", "R57", "R0603",  "C23039"
"401Ω 0603 1%", "R58", "R0603",  ""
"412Ω 0603 1%", "R59", "R0603",  "C12982"
"422Ω 0603 1%", "R60", "R0603",  "C23052"
"432Ω 0603 1%", "R61", "R0603",  "C23055"
"442Ω 0603 1%", "R62", "R0603",  "C23057"
"453Ω 0603 1%", "R63", "R0603",  "C48136"
"463Ω 0603 1%", "R64", "R0603",  ""
"475Ω 0603 1%", "R65", "R0603",  "C23181"
"487Ω 0603 1%", "R66", "R0603",  "C23064"
"499Ω 0603 1%", "R67", "R0603",  "C23065"
"511Ω 0603 1%", "R68", "R0603",  "C23195"
"523Ω 0603 1%", "R69", "R0603",  "C13003"
"536Ω 0603 1%", "R70", "R0603",  "C13005"
"549Ω 0603 1%", "R71", "R0603",  "C13007"
"562Ω 0603 1%", "R72", "R0603",  "C13009"
"576Ω 0603 1%", "R73", "R0603",  "C31366"
"590Ω 0603 1%", "R74", "R0603",  "C23084"
"604Ω 0603 1%", "R75", "R0603",  "C32183"
"619Ω 0603 1%", "R76", "R0603",  "C23218"
"634Ω 0603 1%", "R77", "R0603",  "C23094"
"649Ω 0603 1%", "R78", "R0603",  "C23095"
"665Ω 0603 1%", "R79", "R0603",  "C23096"
"681Ω 0603 1%", "R80", "R0603",  "C23230"
"698Ω 0603 1%", "R81", "R0603",  "C13029"
"715Ω 0603 1%", "R82", "R0603",  "C23238"
"732Ω 0603 1%", "R83", "R0603",  "C23106"
"750Ω 0603 1%", "R84", "R0603",  "C23241"
"768Ω 0603 1%", "R85", "R0603",  "C23108"
"787Ω 0603 1%", "R86", "R0603",  "C23111"
"806Ω 0603 1%", "R87", "R0603",  "C23116"
"825Ω 0603 1%", "R88", "R0603",  "C50214"
"844Ω 0603 1%", "R89", "R0603",  ""
"866Ω 0603 1%", "R90", "R0603",  "C23123"
"886Ω 0603 1%", "R91", "R0603",  ""
"909Ω 0603 1%", "R92", "R0603",  "C13050"
"931Ω 0603 1%", "R93", "R0603",  "C23133"
"952Ω 0603 1%", "R94", "R0603",  ""
"976Ω 0603 1%", "R95", "R0603",  "C23135"
"1k 0603 1%", "R96", "R0603",  "C21190"
"1.02k 0603 1%", "R97", "R0603",  "C22831"
"1.05k 0603 1%", "R98", "R0603",  "C22832"
"1.07k 0603 1%", "R99", "R0603",  "C22762"
"1.1k 0603 1%", "R100", "R0603",  "C22764"
"1.13k 0603 1%", "R101", "R0603",  "C22833"
"1.15k 0603 1%", "R102", "R0603",  "C22834"
"1.18k 0603 1%", "R103", "R0603",  "C22763"
"1.21k 0603 1%", "R104", "R0603",  "C22835"
"1.24k 0603 1%", "R105", "R0603",  "C25956"
"1.27k 0603 1%", "R106", "R0603",  "C22836"
"1.3k 0603 1%", "R107", "R0603",  "C22767"
"1.33k 0603 1%", "R108", "R0603",  "C22838"
"1.37k 0603 1%", "R109", "R0603",  "C22839"
"1.4k 0603 1%", "R110", "R0603",  "C25957"
"1.43k 0603 1%", "R111", "R0603",  "C22840"
"1.47k 0603 1%", "R112", "R0603",  "C22841"
"1.5k 0603 1%", "R113", "R0603",  "C22843"
"1.54k 0603 1%", "R114", "R0603",  "C22842"
"1.58k 0603 1%", "R115", "R0603",  "C22768"
"1.62k 0603 1%", "R116", "R0603",  "C22844"
"1.65k 0603 1%", "R117", "R0603",  "C22845"
"1.69k 0603 1%", "R118", "R0603",  "C22846"
"1.74k 0603 1%", "R119", "R0603",  "C22848"
"1.78k 0603 1%", "R120", "R0603",  "C13118"
"1.82k 0603 1%", "R121", "R0603",  "C25958"
"1.87k 0603 1%", "R122", "R0603",  "C22850"
"1.91k 0603 1%", "R123", "R0603",  "C22853"
"1.96k 0603 1%", "R124", "R0603",  "C22854"
"2k 0603 1%", "R125", "R0603",  "C22975"
"2.05k 0603 1%", "R126", "R0603",  "C22900"
"2.1k 0603 1%", "R127", "R0603",  "C22902"
"2.16k 0603 1%", "R128", "R0603",  ""
"2.21k 0603 1%", "R129", "R0603",  "C22903"
"2.26k 0603 1%", "R130", "R0603",  "C22904"
"2.32k 0603 1%", "R131", "R0603",  "C22905"
"2.37k 0603 1%", "R132", "R0603",  "C25964"
"2.43k 0603 1%", "R133", "R0603",  "C22906"
"2.49k 0603 1%", "R134", "R0603",  "C22908"
"2.55k 0603 1%", "R135", "R0603",  "C25965"
"2.61k 0603 1%", "R136", "R0603",  "C22942"
"2.67k 0603 1%", "R137", "R0603",  "C22943"
"2.74k 0603 1%", "R138", "R0603",  "C22944"
"2.8k 0603 1%", "R139", "R0603",  "C22947"
"2.87k 0603 1%", "R140", "R0603",  "C22907"
"2.94k 0603 1%", "R141", "R0603",  "C22909"
"3.01k 0603 1%", "R142", "R0603",  "C22991"
"3.09k 0603 1%", "R143", "R0603",  "C22992"
"3.16k 0603 1%", "R144", "R0603",  "C22993"
"3.24k 0603 1%", "R145", "R0603",  "C22994"
"3.32k 0603 1%", "R146", "R0603",  "C22995"
"3.4k 0603 1%", "R147", "R0603",  "C22997"
"3.48k 0603 1%", "R148", "R0603",  "C22996"
"3.57k 0603 1%", "R149", "R0603",  "C22998"
"3.65k 0603 1%", "R150", "R0603",  "C22999"
"3.74k 0603 1%", "R151", "R0603",  "C23016"
"3.83k 0603 1%", "R152", "R0603",  "C22982"
"3.92k 0603 1%", "R153", "R0603",  "C23017"
"4.02k 0603 1%", "R154", "R0603",  "C23040"
"4.12k 0603 1%", "R155", "R0603",  "C23041"
"4.22k 0603 1%", "R156", "R0603",  "C23042"
"4.32k 0603 1%", "R157", "R0603",  "C23158"
"4.42k 0603 1%", "R158", "R0603",  "C23043"
"4.53k 0603 1%", "R159", "R0603",  "C25971"
"4.64k 0603 1%", "R160", "R0603",  "C23044"
"4.75k 0603 1%", "R161", "R0603",  "C25972"
"4.87k 0603 1%", "R162", "R0603",  "C23045"
"4.99k 0603 1%", "R163", "R0603",  "C23046"
"5.11k 0603 1%", "R164", "R0603",  "C23067"
"5.23k 0603 1%", "R165", "R0603",  "C23068"
"5.36k 0603 1%", "R166", "R0603",  "C25973"
"5.49k 0603 1%", "R167", "R0603",  "C13244"
"5.62k 0603 1%", "R168", "R0603",  "C23188"
"5.76k 0603 1%", "R169", "R0603",  "C23070"
"5.9k 0603 1%", "R170", "R0603",  "C23071"
"6.04k 0603 1%", "R171", "R0603",  "C25977"
"6.19k 0603 1%", "R172", "R0603",  "C25978"
"6.34k 0603 1%", "R173", "R0603",  "C23087"
"6.49k 0603 1%", "R174", "R0603",  "C23088"
"6.65k 0603 1%", "R175", "R0603",  "C60344"
"6.81k 0603 1%", "R176", "R0603",  "C23211"
"6.98k 0603 1%", "R177", "R0603",  "C23215"
"7.15k 0603 1%", "R178", "R0603",  "C25980"
"7.32k 0603 1%", "R179", "R0603",  "C23101"
"7.5k 0603 1%", "R180", "R0603",  "C23234"
"7.68k 0603 1%", "R181", "R0603",  "C23102"
"7.87k 0603 1%", "R182", "R0603",  "C23236"
"8.06k 0603 1%", "R183", "R0603",  "C23112"
"8.25k 0603 1%", "R184", "R0603",  "C23113"
"8.45k 0603 1%", "R185", "R0603",  "C14892"
"8.66k 0603 1%", "R186", "R0603",  "C23114"
"8.87k 0603 1%", "R187", "R0603",  "C23248"
"9.09k 0603 1%", "R188", "R0603",  "C23125"
"9.31k 0603 1%", "R189", "R0603",  "C23126"
"9.53k 0603 1%", "R190", "R0603",  "C23127"
"9.76k 0603 1%", "R191", "R0603",  "C23128"
